method,coverage,samples,n_points,mse,rmse,mae,persistence_mse,skill_vs_persistence,rmse_pp,mae_pp,macro_market_mse,macro_event_mse
persistence,1.0,200,1400,0.007322905714285714,0.08557397802069104,0.04549,0.007322905714285714,0.0,8.557397802069104,4.549,0.007313181425786689,0.008448679623381613
luna_full,1.0,200,1400,0.007784210549999999,0.08822817322148294,0.04781935714285715,0.007322905714285714,-0.06299478017508275,8.822817322148294,4.781935714285715,0.00784020231829574,0.009064238965355496
terra_full,1.0,200,1400,0.007581055,0.08706925404527134,0.04685642857142858,0.007322905714285714,-0.03525230226721088,8.706925404527134,4.685642857142858,0.007637895154553049,0.008689157498079875
sol_full,1.0,200,1400,0.007660116428571429,0.08752209108888698,0.04601499999999999,0.007322905714285714,-0.04604875816274334,8.752209108888698,4.6015,0.007742194374825954,0.008957512077572968
ridge_price,1.0,200,1400,0.007503065953150784,0.08662023985853874,0.04584870032682404,0.007322905714285714,-0.024602288475954026,8.662023985853875,4.584870032682404,0.007523897597379099,0.008711880502742284
ridge_full,1.0,200,1400,0.0074533601110515465,0.08633284491461837,0.04561793921527297,0.007322905714285714,-0.01781456731189901,8.633284491461838,4.561793921527297,0.007452967802024164,0.008661614424120981
